Platform,Product,Price Current (SAR),Price Original (SAR),Discount %,Price Raw,Link
Noon,"Apple MacBook Air MW123 With 13 Inch Display, M4 Chip 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English/Arabic Midnight",4099,5899,30,"
4,099
5,899
30% OFF
#2 in Notebook Laptops
Free Delivery",https://www.noon.com/saudi-en/macbook-air-mw123-with-13-inch-display-m4-chip-10-core-cpu-8-core-gpu-16gb-ram-256gb-ssd-macos-english-arabic-midnight/N70154925V/p/?o=c9ff1e2ea5e7dfcf
Noon,"HUAWEI MateBook D16 Laptop With 16 Inch Full HD (1920x1080) Display, Core i5-12450H Processor/16GB RAM DDR5/512GB SSD/DOS(Without Windows)/Intel HD Graphics/ English/Arabic Mystic Silver",1789,1989,10,"
1,789
1,989
10% OFF
#5 in Notebook Laptops
Free Delivery",https://www.noon.com/saudi-en/matebook-d16-laptop-with-16-inch-full-hd-1920x1080-display-core-i5-12450h-processor-16gb-ram-ddr5-512gb-ssd-dos-without-windows-intel-hd-graphics-english-arabic-mystic-silver/N70264597V/p/?o=e846dfce1a51d6de
Noon,"HP 15-fd0000nx Laptop With 15.6-inch Full HD(1920x1080) IPS Display, Core i7-1355U Processor/16GB RAM DDR4/512GB SSD/Windows 11/Intel Iris Xe Graphics/ English/Arabic Natural Silver",2699,4799,43,"
2,699
4,799
43% OFF
#7 in Notebook Laptops
Free Delivery",https://www.noon.com/saudi-en/15-fd0000nx-laptop-with-15-6-inch-full-hd-1920x1080-ips-display-core-i7-1355u-processor-16gb-ram-ddr4-512gb-ssd-windows-11-intel-iris-xe-graphics-english-arabic-natural-silver/N53430595A/p/?o=f72f0b4758b8f8ef
Noon,"Acer Aspire Lite (Upgraded Version) Laptop With 14 Inch WUXGA (1920x1200) Display, Core i3-355U Processor/8GB RAM DDR5/256GB SSD/Windows 11 Pro/ English/Arabic Silver",1199,1499,20,"
1,199
1,499
20% OFF
#14 in Notebook Laptops
Lowest price in 30 days",https://www.noon.com/saudi-en/aspire-lite-upgraded-version-laptop-with-14-inch-wuxga-1920x1200-display-core-i3-355u-processor-8gb-ram-ddr5-256gb-ssd-windows-11-pro-english-arabic-silver/N70261802V/p/?o=f29fc9f43b00771a
Noon,"Apple MacBook Air MC6T4 With 13 Inch Display, M4 Chip 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English/Arabic Sky Blue",3969,5899,32,"
3,969
5,899
32% OFF
#4 in Notebook Laptops
Free Delivery",https://www.noon.com/saudi-en/macbook-air-mc6t4-with-13-inch-display-m4-chip-10-core-cpu-8-core-gpu-16gb-ram-256gb-ssd-macos-english-arabic-sky-blue/N70154926V/p/?o=b9b0055b28143c6e
Noon,"HUAWEI Matebook D16 (Upgraded Version) Laptop With 16 Inch Full HD (1920x1080) Display, Core i5-13420H Processor/16GB RAM DDR5/512GB SSD/Windows 11 Pro/ English/Arabic Mystic Silver",2099,N/A,N/A,"
2,099
#8 in Notebook Laptops
Selling out fast",https://www.noon.com/saudi-en/matebook-d16-upgraded-version-laptop-with-16-inch-full-hd-1920x1080-display-core-i5-13420h-processor-16gb-ram-ddr5-512gb-ssd-windows-11-pro-english-arabic-mystic-silver/N70280301V/p/?o=d64ad4367c858b8a
Noon,"Lenovo IdeaPad 15lJL7 Laptop With 15.6 Inch HD (1366x768) Display, Intel Celeron N4500 Processor/ 8GB RAM DDR4/256GB SSD/Intel UHD Graphics/DOS(Without Windows) English/Arabic Cloud Grey",949,1099,13,"
949
1,099
13% OFF
#9 in Notebook Laptops
Free Delivery",https://www.noon.com/saudi-en/ideapad-15ljl7-laptop-with-15-6-inch-hd-1366x768-display-intel-celeron-n4500-processor-8gb-ram-ddr4-256gb-ssd-intel-uhd-graphics-dos-without-windows-english-arabic-cloud-grey/N70249856V/p/?o=a9589ca3dd78760d
Noon,"TECNO Megabook T1 Laptop With Ryzen 7 5800U Processor/16GB RAM/1TB SSD/Windows 11/AMD Radeon R7 Graphics With 14.8mm ultra-thin design, 75Wh Massive Battery & Dual Heat Pipe Cooling System English/Arabic Space Grey",1799,N/A,N/A,"
1,799
#16 in Notebook Laptops
Selling out fast",https://www.noon.com/saudi-en/megabook-t1-laptop-with-ryzen-7-5800u-processor-16gb-ram-1tb-ssd-windows-11-amd-radeon-r7-graphics-with-14-8mm-ultra-thin-design-75wh-massive-battery-dual-heat-pipe-cooling-system-english-arabic-space-grey/N70026992V/p/?o=f97f1a300ef26b4e
Noon,"ASUS Vivobook 15 Laptop With 15.6 Inch Full HD (1920×1080) Display 60Hz, Intel Core 5 120U Processor/16GB RAM DDR5/512GB SSD/Intel UHD Graphics/Windows 11/ English/Arabic Cool Silver",1899,2299,17,"
1,899
2,299
17% OFF
#17 in Notebook Laptops
Free Delivery",https://www.noon.com/saudi-en/vivobook-15-laptop-with-15-6-inch-full-hd-1920-1080-display-60hz-intel-core-5-120u-processor-16gb-ram-ddr5-512gb-ssd-intel-uhd-graphics-windows-11-english-arabic-cool-silver/N70202622V/p/?o=ed83e14ffa3286bf
Noon,"Lenovo IdeaPad S100 15IGL7 ( Upgraded Version) Laptop With 15.6 Inch HD (1366x768) Display, Intel Celeron N4500 Processor/8GB RAM DDR4/ 256GB SSD/Intel UHD Graphics/Windows 11/ English/Arabic Cloud Grey",1065,1299,17,"
1,065
1,299
17% OFF
Free Delivery
Only 5 left in stock",https://www.noon.com/saudi-en/ideapad-s100-15igl7-upgraded-version-laptop-with-15-6-inch-hd-1366x768-display-intel-celeron-n4500-processor-8gb-ram-ddr4-256gb-ssd-intel-uhd-graphics-windows-11-english-arabic-cloud-grey/N70249513V/p/?o=a67c66376e761def
