Platform,Product,Price Current (SAR),Price Original (SAR),Discount %,Price Raw,Link
Noon,"DELL (Upgraded Version) Vostro 3530 Laptop 15.6-Full HD 120Hz Display, Intel Core i5-1334U Processor, 8GB RAM/512GB SSD/Ubuntu/Intel UHD Graphics/ Carbon Carbon English Carbon Black",23111,23499,2,"EGP
23,111
23,499
#28 in Notebook Laptops
Free Delivery",https://www.noon.com/egypt-en/upgraded-version-vostro-3530-laptop-15-6-full-hd-120hz-display-intel-core-i5-1334u-processor-8gb-ram-512gb-ssd-ubuntu-intel-uhd-graphics-carbon-carbon-english-carbon-black/N70158480V/p/?o=cd88061915e6276f
Noon,ASUS FA401KM-RG014W ASUS TUF Gaming A14 Laptop with 14.2 inch 2.5K / AMD Ryzen™ AI 7 350 / 16 GB RAM / 1 Tera SSD / NVIDIA® GeForce RTX™ 5060 Laptop GPU / English/ Win11/Jaeger Gray with TUF backpack English Jaeger Gray,68194,83999,19,"EGP
68,194
83,999
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/fa401km-rg014w-asus-tuf-gaming-a14-laptop-with-14-2-inch-2-5k-amd-ryzen-ai-7-350-16-gb-ram-1-tera-ssd-nvidia-geforce-rtx-5060-laptop-gpu-english-win11-jaeger-gray-with-tuf-backpack-english-jaeger-gray/N70247885V/p/?o=f7827063c6f9d43d
Noon,"HP (Upgraded Version) Victus 15-fa2013dx Gaming Laptop, 15.6"" FHD 144Hz Display, Intel Core i5-13420H, 8GB RAM, 512GB SSD, GeForce RTX 3050 6GB GPU, Keyboard, Windows 11 Home, English Mica Silver",30684,38999,21,"EGP
30,684
38,999
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/upgraded-version-victus-15-fa2013dx-gaming-laptop-15-6-fhd-144hz-display-intel-core-i5-13420h-8gb-ram-512gb-ssd-geforce-rtx-3050-6gb-gpu-keyboard-windows-11-home-english-mica-silver/N70190800V/p/?o=eb1b31ed2e9a116c
Noon,"Lenovo (Upgraded Version) ThinkPad E16 Gen 3 Business Laptop, 16"" WUXGA Display, Intel Core Ultra 7 255H, 16GB DDR5 RAM, 512GB SSD, Intel Arc Graphics English Black English Black",47499,55499,14,"EGP
47,499
55,499
#25 in Notebook Laptops
Free Delivery",https://www.noon.com/egypt-en/upgraded-version-thinkpad-e16-gen-3-business-laptop-16-wuxga-display-intel-core-ultra-7-255h-16gb-ddr5-ram-512gb-ssd-intel-arc-graphics-english-black-english-black/N70218068V/p/?o=df6276c0f3fdbf9b
Noon,"Lenovo Laptop Gaming Lenovo LOQ 15IRX9, Intel Core i5‑13450HX, 16GB DDR5 RAM, 512GB SSD, RTX 3050 6GB, 15.6‑inch FHD 144Hz, DOS, Luna Grey (Arabic Keyboard) Luna Grey",38666,N/A,N/A,"EGP
38,666
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/laptop-gaming-lenovo-loq-15irx9-intel-core-i5-13450hx-16gb-ddr5-ram-512gb-ssd-rtx-3050-6gb-15-6-inch-fhd-144hz-dos-luna-grey-arabic-keyboard-luna-grey/N70284019V/p/?o=e49bf96c8b94d37c
Noon,HP Victus 15-fa1034nia Laptop with 15.6 inch FHD / Intel Core i5-13420H / 8 GB RAM / 512 GB SSD / NVIDIA GeForce RTX 2050 4 GB / DOS / English Silver,32999,33499,1,"EGP
32,999
33,499
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/hp-victus-15-fa1034nia-laptop-with-15-6-inch-fhd-intel-core-i5-13420h-8-gb-ram-512-gb-ssd-nvidia-geforce-rtx-2050-4-gb-dos-english-silver/N70253885V/p/?o=afd529b486ff781c
Noon,Lenovo LAPTOP Lenovo Ideapad Slim 3 15IRH10 Laptop Intel Core i7 13620H RAM 16GB DDR5 4800 HDD 512GB SSD M2 NVME Intel UHD Graphics 15.3” WUXGA Blue + Bag Mouse -2 YEAR WARRENTY 83K100QRED English/Arabic Cosmic Blue,30457,31999,5,"EGP
30,457
31,999
Lowest price in 7 days
Free Delivery",https://www.noon.com/egypt-en/laptop-lenovo-ideapad-slim-3-15irh10-laptop-intel-core-i7-13620h-ram-16gb-ddr5-4800-hdd-512gb-ssd-m2-nvme-intel-uhd-graphics-15-3-wuxga-blue-bag-mouse-2-year-warrenty-83k100qred-english-arabic-cosmic-blue/N70284119V/p/?o=f2c58142707f514f
Noon,"Lenovo Laptop Lenovo IdeaPad Slim 3 15IRH10, Intel Core i5‑13420H, 16GB DDR5 RAM, 512GB SSD, 15.3‑inch WUXGA, FreeDOS (with Bag + Mouse) blue",28676,N/A,N/A,"EGP
28,676
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/laptop-lenovo-ideapad-slim-3-15irh10-intel-core-i5-13420h-16gb-ddr5-ram-512gb-ssd-15-3-inch-wuxga-freedos-with-bag-mouse-blue/N70284018V/p/?o=b80f54f97bd6bcba
Noon,Lenovo LAPTOP LENOVO Legion 5 15IAX10 CPU Ultra 7 255HX RAM 32 G 2x 16GB DDR5-5600 HDD 1TB SSD M.2 NVME VGA NVIDIA GeForce RTX 5070 8GB GDDR7 15.1 WQXGA (2560x1600) OLED 165Hz 2 YEARS WARRENTY 83F00080ED English/Arabic Eclipse Black,82404,93039,11,"EGP
82,404
93,039
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/laptop-lenovo-legion-5-15iax10-cpu-ultra-7-255hx-ram-32-g-2x-16gb-ddr5-5600-hdd-1tb-ssd-m-2-nvme-vga-nvidia-geforce-rtx-5070-8gb-gddr7-15-1-wqxga-2560x1600-oled-165hz-2-years-warrenty-83f00080ed-english-arabic-eclipse-black/N70278871V/p/?o=e5bbef008c17cdbb
Noon,"MSI (Upgraded Version) Raider 18 HX AI A2XWJG Laptop With 18-Inch UHD+ Display, Core Ultra 9 285HX Processor/64GB RAM/2TB SSD/24GB NVIDIA Geforce RTX 5090 Graphics Card/Windows 11 Home Arabic black arabic black",N/A,N/A,N/A,"EGP
277,777
Free Delivery
Free Delivery",https://www.noon.com/egypt-en/upgraded-version-raider-18-hx-ai-a2xwjg-laptop-with-18-inch-uhd-display-core-ultra-9-285hx-processor-64gb-ram-2tb-ssd-24gb-nvidia-geforce-rtx-5090-graphics-card-windows-11-home-arabic-black-arabic-black/N70165465V/p/?o=b931601f304a2e2b
